--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
602,Alessandro Vogliacco,it ITA,DF,Genoa,25,1998,12,8,715,7.9,2,0,2,2,0,0,3,0,0.25,0.00,0.25,0.25,0.25,Matches,6841f107
603,Alessandro Vogliacco,it ITA,DF,Parma,25,1998,10,10,772,8.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,6841f107
604,Mërgim Vojvoda,xk KVX,DFMF,Torino,29,1995,17,12,1105,12.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,be2706c0
605,Mërgim Vojvoda,xk KVX,DF,Como,29,1995,11,8,717,8.0,1,2,3,1,0,0,2,0,0.13,0.25,0.38,0.13,0.38,Matches,be2706c0
606,Stefan de Vrij,nl NED,DF,Inter,32,1992,26,18,1726,19.2,3,0,3,3,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,d0d8dd44
607,Kyle Walker,eng ENG,DF,Milan,34,1990,11,7,659,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,86dd77d1
608,Sebastian Walukiewicz,pl POL,DF,Torino,24,2000,29,20,1661,18.5,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,217875a4
609,Sebastian Walukiewicz,pl POL,DF,Empoli,24,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,217875a4
610,Timothy Weah,us USA,MFDF,Juventus,24,2000,30,18,1638,18.2,5,2,7,5,0,0,4,0,0.27,0.11,0.38,0.27,0.38,Matches,8eec784d
611,Mateusz Wieteska,pl POL,DF,Cagliari,27,1997,5,1,184,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3ecc8c5f
612,John Yeboah,ec ECU,FWMF,Venezia,24,2000,33,11,1226,13.6,1,1,2,1,0,0,6,0,0.07,0.07,0.15,0.07,0.15,Matches,8dfdc6c3
613,Kenan Yıldız,tr TUR,MF,Juventus,19,2005,35,28,2402,26.7,7,4,11,7,0,0,2,1,0.26,0.15,0.41,0.26,0.41,Matches,d8cda243
614,Mattia Zaccagni,it ITA,MFFW,Lazio,29,1995,34,33,2686,29.8,8,6,14,6,2,2,10,0,0.27,0.20,0.47,0.20,0.40,Matches,d85c238b
615,Nicola Zalewski,pl POL,MF,Inter,22,2002,11,4,435,4.8,1,1,2,1,0,0,4,0,0.21,0.21,0.41,0.21,0.41,Matches,45191c29
616,Nicola Zalewski,pl POL,MF,Roma,22,2002,12,4,533,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,45191c29
617,Francesco Zampano,it ITA,MF,Venezia,30,1993,24,17,1639,18.2,1,2,3,1,0,0,5,0,0.05,0.11,0.16,0.05,0.16,Matches,8e45910b
618,Nicolò Zaniolo,it ITA,FWMF,Fiorentina,25,1999,9,4,343,3.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,9907b1c8
619,Nicolò Zaniolo,it ITA,FWMF,Atalanta,25,1999,14,0,356,4.0,2,2,4,2,0,0,4,0,0.51,0.51,1.01,0.51,1.01,Matches,9907b1c8
620,Alessandro Zanoli,it ITA,MF,Genoa,23,2000,31,19,1711,19.0,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,3b12b11f
621,Duván Zapata,co COL,FW,Torino,33,1991,7,7,587,6.5,3,0,3,3,0,0,1,0,0.46,0.00,0.46,0.46,0.46,Matches,d3de9af0
622,Gabriele Zappa,it ITA,DF,Cagliari,24,1999,37,35,3060,34.0,2,0,2,2,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,ca3db240
623,Davide Zappacosta,it ITA,MF,Atalanta,32,1992,30,26,2067,23.0,4,2,6,4,0,0,3,0,0.17,0.09,0.26,0.17,0.26,Matches,7fe90ccd
624,Oier Zarraga,es ESP,MF,Udinese,25,1999,22,9,896,10.0,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches,968a1c2f
625,Jordan Zemura,zw ZIM,MFDF,Udinese,24,1999,23,13,1415,15.7,1,2,3,1,0,0,2,0,0.06,0.13,0.19,0.06,0.19,Matches,e8271ad9
626,Alessio Zerbin,it ITA,FWMF,Napoli,25,1999,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d19ef4ef
627,Alessio Zerbin,it ITA,MF,Venezia,25,1999,18,17,1518,16.9,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches,d19ef4ef
628,Kevin Zeroli,it ITA,MF,Monza,19,2005,8,4,395,4.4,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches,7d6d4395
629,Kevin Zeroli,it ITA,MF,Milan,19,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d6d4395
630,Piotr Zieliński,pl POL,MF,Inter,30,1994,26,8,980,10.9,2,2,4,0,2,2,0,0,0.18,0.18,0.37,0.00,0.18,Matches,a5296e55
631,Nadir Zortea,it ITA,MF,Cagliari,25,1999,35,33,2713,30.1,6,2,8,6,0,0,2,0,0.20,0.07,0.27,0.20,0.27,Matches,82598b71
632,Szymon Żurkowski,pl POL,MF,Empoli,26,1997,5,0,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4e1d5e59
633,Milan Đurić,ba BIH,FW,Monza,34,1990,18,13,1270,14.1,4,1,5,4,0,0,3,0,0.28,0.07,0.35,0.28,0.35,Matches,405f6586
634,Milan Đurić,ba BIH,FW,Parma,34,1990,9,3,268,3.0,1,0,1,1,0,0,1,0,0.34,0.00,0.34,0.34,0.34,Matches,405f6586


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">FBref.com</a>: <a href="https://fbref.com/en/comps/11/2024-2025/stats/2024-2025-Serie-A-M-Stats?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#stats_standard">View Original Table</a><br>Generated 7/28/2026.
